time_stamp,open,close,adjust,usage,comment
Feb-12,120.6510,126.4445,0.0000,5.7935,Lighting system 1.060 -28:22d:h
Mar-12,126.4445,131.0081,0.0000,4.5636,New regulator for the heater
Apr-12,131.0081,138.9847,0.0000,7.9766,
May-12,138.9847,140.2438,0.0000,1.2591,Return from 4 weeks in Aus
Jun-12,140.2438,147.6859,0.0000,7.4421,
Jul-12,147.6859,155.1153,0.0000,7.4294,
Aug-12,155.1153,164.6153,0.0000,9.5000,Jo&Francesco Visited.
Sep-12,164.6153,170.9065,0.0000,6.2912,Heating activated 01.10
Oct-12,170.9065,177.2495,0.0000,6.3430,Taken 31.10.12@18:30 before going to Lisbon for 3 days.
Nov-12,177.2495,182.5763,0.0000,5.3268,
Dec-12,182.5763,188.3079,0.0000,5.7316,
Jan-13,188.3079,194.4867,0.0000,6.1789,
Feb-13,194.4867,199.0434,0.0000,4.5567,
Mar-13,199.0434,204.6203,0.0000,5.5769,
Apr-13,204.6203,208.7811,0.0000,4.1608,"Lighting system 0.539kWh R33d09h A09d17h GAS counter was changed. Vacation in Spain, two weeks"
May-13,208.7811,215.9359,0.0000,7.1548,No reading for lighting system. Still very cold. Heating was put back on!
Jun-13,215.9359,221.8044,0.0000,5.8685,
Jul-13,221.8044,231.4791,0.0000,9.6747,
Aug-13,231.4791,240.0137,0.0000,8.5346,
Sep-13,240.0137,244.9424,0.0000,4.9287,Kelly visited for the month.
Oct-13,244.9424,252.6168,0.0000,7.6744,
Nov-13,252.6168,260.7234,0.0000,8.1066,Forgot to take the lighting record time before clearing. Very cold month.
Dec-13,260.7234,268.1212,0.0000,7.3978,Installed new thermostats and the wood fire
Jan-14,268.1212,275.1753,0.0000,7.0541,
Feb-14,275.1753,280.4125,0.0000,5.2372,
Mar-14,280.4125,286.4837,0.0000,6.0712,
Apr-14,286.4837,292.1190,0.0000,5.6353,Started to turn the gas off during this month.
May-14,292.1190,300.0665,0.0000,7.9475,Had to use the electric heater this month
Jun-14,300.0665,308.7870,0.0000,8.7205,Pfingston weekend away camping.
Jul-14,308.7870,317.5042,0.0000,8.7172,"Visitors: Graeme, then Bart and Melane"
Aug-14,317.5042,323.7793,0.0000,6.2751,Made grape gelé - Water and Electricity (2 x party mode)
Sep-14,323.7793,329.1388,0.0000,5.3595,Started using the wood heater more.
Oct-14,329.1388,336.5324,0.0000,7.3936,Started the heating system in the later part of this month.
Nov-14,336.5324,342.7634,0.0000,6.2310,
Dec-14,342.7634,343.7745,0.0000,1.0111,Vacation in Australia (Recorded 03.01.15)
Jan-15,343.7745,349.5047,0.0000,5.7302,
Feb-15,349.5047,353.6045,0.0000,4.0998,
Mar-15,353.6045,358.1843,0.0000,4.5798,
Apr-15,358.1843,362.8016,0.0000,4.6173,
May-15,362.8016,368.8871,0.0000,6.0855,Turned the heating off. 
Jun-15,368.8871,376.1571,0.0000,7.2700,Changed the hot water times to also come on in the evening
Jul-15,376.1571,384.8052,0.0000,8.6481,
Aug-15,384.8052,392.5800,0.0000,7.7748,
Sep-15,392.5800,397.9342,0.0000,5.3542,
Oct-15,397.9342,402.0178,0.0000,4.0836,
Nov-15,402.0178,411.4205,0.0000,9.4027,
Dec-15,411.4205,417.3644,0.0000,5.9439,
Jan-16,417.3644,422.9997,0.0000,5.6353,Usage of electric heater in the cellar
Feb-16,422.9997,427.5588,0.0000,4.5591,Vacation to Mallorca. Cellar packed up for refurbishment
Mar-16,427.5588,433.3370,0.0000,5.7782,Vacation to USA
Apr-16,433.3370,439.3089,0.0000,5.9719,Vacation to USA plus cellar renovation
May-16,439.3089,444.9426,0.0000,5.6337,
Jun-16,444.9426,450.4755,0.0000,5.5329,
Jul-16,450.4755,455.6352,0.0000,5.1597,
Aug-16,455.6352,463.5938,0.0000,7.9586,Visitors - the last weekend
Sep-16,463.5938,469.5432,0.0000,5.9494,Switched on the heater 30.09.16
Oct-16,469.5432,475.4191,0.0000,5.8759,
Nov-16,475.4191,2.0000,479.0000,5.5809,The water meter was changed Reading: 479m3
Dec-16,2.0000,8.6101,0.0000,6.6101,
Jan-17,8.6101,13.3859,0.0000,4.7758,Set the workshop heater to 17 degrees
Feb-17,13.3859,17.4932,0.0000,4.1073,The heating started to fail 27.02.17
Mar-17,17.4932,22.2667,0.0000,4.7735,Recorded a day early - Headed to Australia for two weeks.
Apr-17,22.2667,24.7249,0.0000,2.4582,
May-17,24.7249,31.4873,0.0000,6.7624,Turned the heating off. 
Jun-17,31.4873,36.4270,0.0000,4.9397,
