time_stamp,open,close,adjust,comment
2011-11-01,22637.2000,22979.7000,0.0000,Lighting system 1.066 - 29:22d:h
2011-12-01,22979.7000,23403.4000,0.0000,Visitors over christmas - Party mode was used
2012-01-01,23403.4000,23750.2500,0.0000,
2012-02-01,23750.2500,24091.4500,0.0000,Lighting system 1.060 -28:22d:h
2012-03-01,24091.4500,24386.1000,0.0000,New regulator for the heater
2012-04-01,24386.1000,24646.2000,0.0000,
2012-05-01,24646.2000,24748.8000,0.0000,Return from 4 weeks in Aus
2012-06-01,24748.8000,24975.7000,0.0000,
2012-07-01,24975.7000,25225.8000,0.0000,
2012-08-01,25225.8000,25499.9000,0.0000,Jo&Francesco Visited.
2012-09-01,25499.9000,25694.8500,0.0000,Heating activated 01.10
2012-10-01,25694.8500,25976.0000,0.0000,Taken 31.10.12@18:30 before going to Lisbon for 3 days.
2012-11-01,25976.0000,26235.4500,0.0000,
2012-12-01,26235.4500,26563.0000,0.0000,
2013-01-01,26563.0000,26893.2000,0.0000,
2013-02-01,26893.2000,27146.2000,0.0000,
2013-03-01,27146.2000,27409.3000,0.0000,
2013-04-01,27409.3000,27603.2000,0.0000,"Lighting system 0.539kWh R33d09h A09d17h GAS counter was changed. Vacation in Spain, two weeks"
2013-05-01,27603.2000,27860.8000,0.0000,No reading for lighting system. Still very cold. Heating was put back on!
2013-06-01,27860.8000,28079.7000,0.0000,
2013-07-01,28079.7000,28236.4000,0.0000,
2013-08-01,28236.4000,28535.7000,0.0000,
2013-09-01,28535.7000,28694.6000,0.0000,Kelly visited for the month.
2013-10-01,28694.6000,29009.4000,0.0000,
2013-11-01,29009.4000,29314.4000,0.0000,Forgot to take the lighting record time before clearing. Very cold month.
2013-12-01,29314.4000,29650.4000,0.0000,Installed new thermostats and the wood fire
2014-01-01,29650.4000,29989.8500,0.0000,
2014-02-01,29989.8500,30268.1000,0.0000,
2014-03-01,30268.1000,30537.2000,0.0000,
2014-04-01,30537.2000,30746.2000,0.0000,Started to turn the gas off during this month.
2014-05-01,30746.2000,31016.1000,0.0000,Had to use the electric heater this month
2014-06-01,31016.1000,31229.7500,0.0000,Pfingston weekend away camping.
2014-07-01,31229.7500,31469.7000,0.0000,"Visitors: Graeme, then Bart and Melane"
2014-08-01,31469.7000,31708.0000,0.0000,Made grape gelé - Water and Electricity (2 x party mode)
2014-09-01,31708.0000,31954.4000,0.0000,Started using the wood heater more.
2014-10-01,31954.4000,32247.7000,0.0000,Started the heating system in the later part of this month.
2014-11-01,32247.7000,32544.7000,0.0000,
2014-12-01,32544.7000,32669.6000,0.0000,Vacation in Australia (Recorded 03.01.15)
2015-01-01,32669.6000,33025.0000,0.0000,
2015-02-01,33025.0000,33299.0000,0.0000,
2015-03-01,33299.0000,33594.1000,0.0000,
2015-04-01,33594.1000,33852.7000,0.0000,
2015-05-01,33852.7000,34091.0000,0.0000,Turned the heating off. 
2015-06-01,34091.0000,34337.6000,0.0000,Changed the hot water times to also come on in the evening
2015-07-01,34337.6000,34587.4000,0.0000,
2015-08-01,34587.4000,34839.7000,0.0000,
2015-09-01,34839.7000,35107.8000,0.0000,
2015-10-01,35107.8000,35389.1000,0.0000,
2015-11-01,35389.1000,35743.7000,0.0000,
2015-12-01,35743.7000,36094.8000,0.0000,
2016-01-01,36094.8000,36446.3000,0.0000,Usage of electric heater in the cellar
2016-02-01,36446.3000,36761.6000,0.0000,Vacation to Mallorca. Cellar packed up for refurbishment
2016-03-01,36761.6000,37082.9000,0.0000,Vacation to USA
2016-04-01,37082.9000,37304.5000,0.0000,Vacation to USA plus cellar renovation
2016-05-01,37304.5000,37622.3000,0.0000,
2016-06-01,37622.3000,37900.7000,0.0000,
2016-07-01,37900.7000,38177.9000,0.0000,
2016-08-01,38177.9000,38478.1000,0.0000,Visitors - the last weekend
2016-09-01,38478.1000,38681.6000,0.0000,Switched on the heater 30.09.16
2016-10-01,38681.6000,39016.4000,0.0000,
2016-11-01,39016.4000,39372.4000,0.0000,The water meter was changed Reading: 479m3
2016-12-01,39372.4000,39785.5000,0.0000,
2017-01-01,39785.5000,40133.8000,0.0000,Set the workshop heater to 17 degrees
2017-02-01,40133.8000,40467.0000,0.0000,The heating started to fail 27.02.17
2017-03-01,40467.0000,40812.3000,0.0000,Recorded a day early - Headed to Australia for two weeks.
2017-04-01,40812.3000,41044.2000,0.0000,
2017-05-01,41044.2000,41369.7500,0.0000,Turned the heating off. 
2017-06-01,41369.7500,41617.8000,0.0000,
